,type_of_property,subtype_of_property,bedrooms,bathrooms,region,province,postal_code,floor,living_area,state_of_property,year_of_construction,facade_count,heating,kitchen,epc_score,price,garden,terrace,neighborhood_type,fireplace,rooms,furnished,pools,age_of_property
8269,APARTMENT,DUPLEX,3,,Wallonie,Liège,4540,2.0,177.0,AS_NEW,2022.0,4.0,GAS,NOT_INSTALLED,A,259500,,8.0,unknown,True,,False,False,1.0
8270,APARTMENT,APARTMENT,2,1.0,Flandres,Flandre Orientale,9400,2.0,75.0,GOOD,,2.0,GAS,SEMI_EQUIPPED,C,159000,,,unknown,True,,False,False,
8271,APARTMENT,APARTMENT,2,1.0,Bruxelles,Bruxelles,1030,1.0,95.0,unknown,1960.0,2.0,GAS,NOT_INSTALLED,D,280000,,3.0,RESIDENTIAL,True,,False,False,63.0
8272,APARTMENT,GROUND_FLOOR,1,1.0,Bruxelles,Bruxelles,1210,0.0,68.0,TO_BE_DONE_UP,2003.0,2.0,unknown,SEMI_EQUIPPED,E,300000,84.0,20.0,URBAN,False,,False,False,20.0
8273,APARTMENT,APARTMENT,3,1.0,Bruxelles,Bruxelles,1200,10.0,168.0,GOOD,1964.0,,unknown,NOT_INSTALLED,G,459000,,19.0,unknown,True,,False,False,59.0
8274,HOUSE,HOUSE,4,2.0,Wallonie,Brabant Wallon,1495,,190.0,AS_NEW,1953.0,3.0,FUELOIL,INSTALLED,D,425000,380.0,23.0,unknown,True,,False,False,70.0
8275,APARTMENT,APARTMENT,3,2.0,Bruxelles,Bruxelles,1050,1.0,190.0,AS_NEW,1902.0,2.0,GAS,HYPER_EQUIPPED,E,745000,,27.0,URBAN,False,,False,False,121.0
8276,HOUSE,HOUSE,3,1.0,Flandres,Anvers,2660,,175.0,AS_NEW,,,unknown,INSTALLED,D,375000,138.0,,unknown,True,,False,False,
8277,HOUSE,HOUSE,3,2.0,Wallonie,Hainaut,6210,,267.0,AS_NEW,,4.0,FUELOIL,USA_INSTALLED,D,550000,1000.0,100.0,unknown,True,,False,False,
8278,HOUSE,HOUSE,4,1.0,Flandres,Anvers,2940,,225.0,unknown,,2.0,SOLAR,unknown,unknown,499000,142.0,,unknown,False,,False,False,
8279,HOUSE,HOUSE,2,1.0,Flandres,Anvers,2020,,113.0,JUST_RENOVATED,,2.0,GAS,INSTALLED,D,335000,39.0,,unknown,True,,False,False,
8280,HOUSE,HOUSE,3,1.0,Flandres,Anvers,2940,,223.0,unknown,,2.0,SOLAR,unknown,unknown,491000,136.0,,unknown,False,,False,False,
8281,HOUSE,HOUSE,4,1.0,Wallonie,Namur,5300,,197.0,AS_NEW,,4.0,FUELOIL,SEMI_EQUIPPED,D,429000,,,COUNTRY,True,,False,False,
8282,HOUSE,HOUSE,5,1.0,Flandres,Flandre Orientale,9000,,333.0,AS_NEW,,2.0,GAS,INSTALLED,C,649000,16.0,25.0,URBAN,False,,False,False,
8283,HOUSE,HOUSE,3,1.0,Flandres,Anvers,2940,,223.0,unknown,,2.0,SOLAR,unknown,unknown,495000,142.0,,unknown,False,,False,False,
8284,HOUSE,HOUSE,3,1.0,Flandres,Anvers,2910,,120.0,TO_RESTORE,,,FUELOIL,unknown,F,292000,,,unknown,True,4.0,False,False,
8285,HOUSE,HOUSE,3,,Wallonie,Brabant Wallon,1400,,,unknown,,2.0,unknown,unknown,C,245000,30.0,1.0,unknown,False,,False,False,
8286,HOUSE,HOUSE,3,1.0,Flandres,Flandre Occidentale,8000,,326.0,TO_RESTORE,,,GAS,unknown,E,580000,,,unknown,True,4.0,False,False,
8287,HOUSE,APARTMENT_BLOCK,4,4.0,Wallonie,Brabant Wallon,1420,,233.0,unknown,,2.0,GAS,unknown,D,695000,,,unknown,False,,False,False,
8288,HOUSE,HOUSE,2,2.0,Flandres,Anvers,2000,,130.0,AS_NEW,,2.0,GAS,HYPER_EQUIPPED,C,429000,,9.0,URBAN,False,,False,False,
8289,HOUSE,VILLA,4,1.0,Flandres,Flandre Orientale,9031,,112.0,TO_BE_DONE_UP,1963.0,4.0,unknown,SEMI_EQUIPPED,F,375000,,,unknown,True,,False,False,60.0
8290,HOUSE,TOWN_HOUSE,3,1.0,Flandres,Flandre Orientale,9600,,314.0,unknown,1972.0,2.0,unknown,INSTALLED,C,315000,,,unknown,True,,False,False,51.0
8291,HOUSE,HOUSE,5,2.0,Wallonie,Brabant Wallon,1420,,233.0,GOOD,1918.0,3.0,GAS,unknown,C,585000,,,unknown,False,,False,False,105.0
8292,HOUSE,HOUSE,4,1.0,Flandres,Flandre Orientale,9230,,185.0,TO_BE_DONE_UP,1950.0,2.0,GAS,INSTALLED,F,262000,,,unknown,True,,False,False,73.0
8293,HOUSE,VILLA,4,2.0,Flandres,Anvers,2910,,279.0,unknown,2002.0,4.0,GAS,unknown,C,699000,,,unknown,True,,False,False,21.0
8294,HOUSE,HOUSE,3,1.0,Flandres,Flandre Orientale,9280,,198.0,GOOD,1956.0,3.0,ELECTRIC,INSTALLED,F,365000,112.0,20.0,RESIDENTIAL,True,,False,False,67.0
8295,HOUSE,HOUSE,3,1.0,Flandres,Flandre Orientale,9000,,110.0,GOOD,,2.0,unknown,INSTALLED,unknown,325000,,,RESIDENTIAL,False,,False,False,
8296,HOUSE,VILLA,4,2.0,Flandres,Anvers,2920,,370.0,unknown,2022.0,4.0,unknown,unknown,unknown,1295000,,,unknown,True,,False,False,1.0
8297,HOUSE,HOUSE,3,1.0,Flandres,Anvers,2530,,195.0,TO_RENOVATE,1965.0,4.0,FUELOIL,INSTALLED,F,825000,,,RESIDENTIAL,False,,False,False,58.0
